name,main_city,jurisdiction,population
Gran Buenos Aires,Buenos Aires,Ciudad Autónoma de Buenos Aires-Buenos Aires,16224751
Gran Córdoba,Córdoba,Córdoba,1705741
Gran Rosario,Rosario,Santa Fe,1429292
Gran Mendoza,Mendoza,Mendoza,1056893
Gran San Miguel de Tucumán,San Miguel de Tucumán,Tucumán,1052194
Gran La Plata,La Plata,Buenos Aires,919154
Gran Salta,Salta,Salta,671015
Mar del Plata,Mar del Plata,Buenos Aires,644234
Gran San Juan,San Juan,San Juan,546613
Gran Santa Fe,Santa Fe,Santa Fe,530027
Neuquén-Plottier-Cipolletti,Neuquén,Neuquén,500336
Santiago del Estero-La Banda,Santiago del Estero,Santiago del Estero,449688
Gran Corrientes,Corrientes,Corrientes,427531
Gran Resistencia,Resistencia,Chaco,407618
Gran Posadas,Posadas,Misiones,389070
Gran San Salvador de Jujuy,San Salvador de Jujuy,Jujuy,375794
Gran Bahía Blanca,Bahía Blanca,Buenos Aires,323357
Gran Paraná,Paraná,Entre Ríos,302614
Formosa,Formosa,Formosa,260325
Gran San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,Catamarca,230366
Gran San Luis,San Luis,San Luis,225536
La Rioja,La Rioja,La Rioja,208638
Comodoro Rivadavia,Comodoro Rivadavia,Chubut,199369
Gran Río Cuarto,Río Cuarto,Córdoba,189960
Concordia,Concordia,Entre Ríos,175683
Gran San Nicolás de los Arroyos,San Nicolás de los Arroyos,Buenos Aires,160350
San Rafael,San Rafael,Mendoza,139191
Tandil,Tandil,Buenos Aires,138549
San Carlos de Bariloche,San Carlos de Bariloche,Río Negro,134978
Gran Santa Rosa,Gran Santa Rosa,La Pampa,132887
Villa Mercedes,Villa Mercedes,San Luis,132076
Villa María-Villa Nueva,Villa María,Córdoba,121939
Río Gallegos,Río Gallegos,Santa Cruz,115524
Zárate,Zárate,Buenos Aires,114905
Reconquista-Avellaneda,Reconquista,Santa Fe,111396
San Martín-La Colonia,San Martín,Mendoza,105497
Trelew,Trelew,Chubut,104657
Campana,Campana,Buenos Aires,104235
Olavarría,Olavarría,Buenos Aires,102907
General Roca,General Roca,Río Negro,102750
Pergamino,Pergamino,Buenos Aires,102182
Rafaela,Rafaela,Santa Fe,101470
Luján,Luján,Buenos Aires,100541
Gualeguaychú-Pueblo General Belgrano,Gualeguaychú,Entre Ríos,98174
Puerto Madryn,Puerto Madryn,Chubut,97625
Río Grande,Río Grande,Tierra del Fuego,97611
Presidencia Roque Sáenz Peña,Presidencia Roque Sáenz Peña,Chaco,96866
Junín,Junín,Buenos Aires,95385
Necochea-Quequén,Necochea,Buenos Aires,94057
Goya,Goya,Corrientes,88949
San Ramón de la Nueva Orán,San Ramón de la Nueva Orán,Salta,88867
Tartagal,Tartagal,Salta,88095
Concepción del Uruguay,Concepción del Uruguay,Entre Ríos,85560
Tafí Viejo,Tafí Viejo,Tucumán,85043
Villa Carlos Paz-San Antonio de Arredondo-Villa Río Icho Cruz,Villa Carlos Paz,Córdoba,83438
Viedma-Carmen de Patagones,Viedma,Río Negro,83326
Mar de Ajó-Santa Teresita-Mar del Tuyú,Mar de Ajó,Buenos Aires,83016
Venado Tuerto,Venado Tuerto,Santa Fe,81966
San Francisco-Frontera,San Francisco,Córdoba,79689
Ushuaia,Ushuaia,Tierra del Fuego,79409
San Pedro-La Esperanza,San Pedro,Jujuy,77116
Oberá,Oberá,Misiones,75456
Eldorado,Eldorado,Misiones,68722
Mercedes,Mercedes,Buenos Aires,67252
General Pico,General Pico,La Pampa,66805
Chivilcoy,Chivilcoy,Buenos Aires,65575
Azul,Azul,Buenos Aires,64886
Concepción-Arcadia-Alto Verde ,Concepción,Tucumán,64844
Punta Alta ,Punta Alta ,Buenos Aires,64244
Jesús María-Colonia Caroya-Sinsacate,Jesús María,Córdoba,63080
Alta Gracia,Alta Gracia,Córdoba,60162
Perico,Perico,Jujuy,56629
Clorinda,Clorinda,Formosa,56528
San Pedro,San Pedro,Buenos Aires,56471
Caleta Olivia,Caleta Olivia,Santa Cruz,56310
Cutral Có-Plaza Huincul,Cutral Có,Neuquén,56225
Puerto Iguazú,Puerto Iguazú,Misiones,53786
Río Tercero,Río Tercero,Córdoba,52977
Cosquín-Santa María de Punilla-Bialet Massé,Cosquín,Córdoba,52321
Villa Constitución,Villa Constitución,Santa Fe,52204
Tres Arroyos,Tres Arroyos,Buenos Aires,52199
Paso de los Libres,Paso de los Libres,Corrientes,51442
Villa Dolores-Villa Sarmiento-San Pedro-Villa de las Rosas,Villa Dolores,Córdoba,50688
Libertador General San Martín,Libertador General San Martín,Jujuy,47209
Villa Angela,Villa Angela,Chaco,46850
Chacabuco,Chacabuco,Buenos Aires,46440
Esperanza,Esperanza,Santa Fe,45433
Aguilares-Los Sarmiento-Barrio Santa Emilia ,Aguilares,Tucumán,44660
Balcarce,Balcarce,Buenos Aires,44409
Gualeguay,Gualeguay,Entre Ríos,43909
Termas de Río Hondo,Termas de Río Hondo,Santiago del Estero,42761
Mercedes,Mercedes,Corrientes,42115
Nueve de Julio,Nueve de Julio,Buenos Aires,42098
Cañuelas,Cañuelas,Buenos Aires,41801
Centenario,Centenario,Neuquén,41801
Curuzú Cuatiá,Curuzú Cuatiá,Corrientes,40925
Río Segundo-Pilar,Río Segundo,Córdoba,40626
Zapala,Zapala,Neuquén,40508
La Falda-Huerta Grande-Valle Hermoso,La Falda,Córdoba,40310
Trenque Lauquen,Trenque Lauquen,Buenos Aires,39975
Chascomús,Chascomús,Buenos Aires,39947
Villaguay,Villaguay,Entre Ríos,39406
Chajarí,Chajarí,Entre Ríos,39392
Chilecito,Chilecito,La Rioja,39327
Pinamar-Divisadero,Pinamar,Buenos Aires,39301
Bragado,Bragado,Buenos Aires,38794
Casilda,Casilda,Santa Fe,38415
Tunuyán,Tunuyán,Mendoza,38367
General Güemes,General Güemes,Salta,38048
Bell Ville,Bell Ville,Córdoba,37302
Villa Gesell,Villa Gesell,Buenos Aires,37295
San Martín de los Andes,San Martín de los Andes,Neuquén,37108
Esquel,Esquel,Chubut,36624
Pehuajó,Pehuajó,Buenos Aires,36507
Lobos,Lobos,Buenos Aires,35719
General Alvear,General Alvear,Mendoza,35626
Bella Vista,Bella Vista,Corrientes,35546
Baradero,Baradero,Buenos Aires,35389
Gobernador Virasoro,Gobernador Virasoro,Corrientes,35150
Miramar-El Marquesado,Miramar,Buenos Aires,35037
Victoria,Victoria,Entre Ríos,34965
Rivadavia,Rivadavia,Mendoza,34830
San José de Metán,San José de Metán,Salta,34601
Cruz del Eje,Cruz del Eje,Córdoba,34317
Salto,Salto,Buenos Aires,34034
Frías,Frías,Santiago del Estero,33564
General José de San Martín,General José de San Martín,Chaco,33225
Famaillá,Famaillá,Tucumán,33095
Lincoln,Lincoln,Buenos Aires,32773
Coronel Suárez ,Coronel Suárez ,Buenos Aires,32525
Caucete,Caucete,San Juan,32454
Cañada de Gómez,Cañada de Gómez,Santa Fe,31916
San Carlos de Bolívar,San Carlos de Bolívar,Buenos Aires,31618
Monteros,Monteros,Tucumán,31001
Charata,Charata,Chaco,30968
Villa Regina,Villa Regina,Río Negro,30491
Arrecifes,Arrecifes,Buenos Aires,30397
Saladillo,Saladillo,Buenos Aires,30378
Dolores,Dolores,Buenos Aires,30372
Apóstoles,Apóstoles,Misiones,30278